Trial,Front Motion Sent,Front Motion Received,Front Motion Delta ,Unlock Sent,Unlock Received,Lock Delta,Alexa Trigger Sent,Alexa Trigger Received,Alexa Trigger Delta,Motion Sensor 1 Sent,Motion Sensor 1 Received,Motion Sensor 1 Delta,Motion Sensor 2 Sent,Motion Sensor 2 Received,Motion Sensor 2 Delta
1,03:59:42 PM,03:58:17 PM,,04:00:07 PM,04:00:09 PM,12:00:02 AM,04:00:33 PM,04:00:37 PM,12:00:04 AM,04:00:55 PM,04:00:56 PM,12:00:01 AM,04:00:55 PM,04:01:04 PM,12:00:09 AM
2,04:03:07 PM,04:04:16 PM,01:09.00,04:03:31 PM,04:03:33 PM,12:00:02 AM,04:04:42 PM,04:04:15 PM,,04:05:10 PM,04:05:13 PM,12:00:03 AM,04:05:10 PM,04:05:10 PM,12:00:00 AM
3,04:06:35 PM,04:07:23 PM,00:48.00,04:07:03 PM,04:07:06 PM,12:00:03 AM,04:07:38 PM,04:07:50 PM,12:00:12 AM,04:06:19 PM,04:08:19 PM,12:02:00 AM,04:08:19 PM,04:08:19 PM,12:00:00 AM
4,04:09:49 PM,,,04:10:08 PM,04:10:11 PM,12:00:03 AM,04:10:29 PM,04:10:32 PM,12:00:03 AM,04:10:47 PM,04:10:54 PM,12:00:07 AM,04:10:47 PM,04:10:47 PM,12:00:00 AM
5,04:11:59 PM,,,04:12:38 PM,04:12:40 PM,12:00:02 AM,04:13:03 PM,04:13:03 PM,12:00:00 AM,04:13:20 PM,04:13:32 PM,12:00:12 AM,04:13:20 PM,04:13:28 PM,12:00:08 AM
6,04:16:04 PM,04:16:47 PM,00:43.00,04:16:29 PM,04:16:31 PM,12:00:02 AM,04:17:25 PM,04:17:35 PM,12:00:10 AM,04:17:40 PM,04:17:47 PM,12:00:07 AM,04:17:40 PM,04:17:43 PM,12:00:03 AM
7,04:21:08 PM,04:22:12 PM,01:04.00,04:21:32 PM,04:21:42 PM,12:00:10 AM,04:22:00 PM,04:22:17 PM,12:00:17 AM,04:22:16 PM,,,04:22:29 PM,04:22:31 PM,
8,04:23:26 PM,04:23:00 PM,,04:23:51 PM,04:23:53 PM,12:00:02 AM,04:24:30 PM,04:24:42 PM,12:00:12 AM,04:24:39 PM,04:24:00 PM,12:00:07 AM,04:24:39 PM,04:24:40 PM,12:00:01 AM
9,04:26:00 PM,,,04:26:30 PM,04:26:36 PM,12:00:06 AM,04:27:00 PM,04:27:09 PM,12:00:09 AM,04:27:25 PM,04:27:28 PM,12:00:03 AM,,04:27:26 PM,04:27:26 PM
10,04:28:37 PM,,,04:29:00 PM,04:29:03 PM,12:00:03 AM,04:29:27 PM,04:29:28 PM,,04:29:43 PM,04:29:43 PM,12:00:00 AM,04:29:43 PM,04:29:44 PM,12:00:01 AM
11,04:31:00 PM,04:31:30 PM,00:30.00,04:31:35 PM,04:31:35 PM,12:00:00 AM,04:31:55 PM,04:31:58 PM,12:00:03 AM,04:32:15 PM,,,04:32:15 PM,04:32:17 PM,12:00:02 AM
12,04:34:27 PM,04:34:21 PM,,04:34:54 PM,04:34:56 PM,12:00:02 AM,04:35:35 PM,04:35:39 PM,12:00:04 AM,04:35:46 PM,04:35:49 PM,12:00:03 AM,04:35:46 PM,,
13,04:38:45 PM,04:46:08 PM,07:23.00,04:39:10 PM,04:39:12 PM,12:00:02 AM,04:39:31 PM,04:39:45 PM,12:00:14 AM,04:39:53 PM,04:39:53 PM,12:00:00 AM,04:39:53 PM,,
14,04:41:12 PM,04:46:09 PM,04:57.00,04:41:37 PM,04:41:39 PM,12:00:02 AM,04:42:10 PM,04:42:27 PM,12:00:17 AM,04:42:30 PM,04:42:33 PM,12:00:03 AM,04:42:30 PM,04:42:32 PM,12:00:02 AM
15,05:02:30 PM,05:16:33 PM,14:03.00,05:02:05 PM,05:02:52 PM,12:00:47 AM,05:04:12 PM,05:04:20 PM,12:00:08 AM,05:04:28 PM,05:04:28 PM,12:00:00 AM,,,12:00:00 AM
16,05:05:30 PM,05:16:34 PM,11:04.00,05:05:56 PM,05:05:59 PM,12:00:03 AM,05:06:22 PM,05:06:35 PM,12:00:13 AM,05:06:46 PM,05:06:49 PM,12:00:03 AM,05:06:46 PM,05:06:48 PM,12:00:02 AM
17,05:07:47 PM,05:16:35 PM,08:48.00,05:08:12 PM,05:08:14 PM,12:00:02 AM,05:08:40 PM,05:08:52 PM,12:00:12 AM,05:09:01 PM,05:09:00 PM,12:00:01 AM,05:09:01 PM,05:09:03 PM,12:00:02 AM
18,05:10:07 PM,05:16:37 PM,06:30.00,05:10:36 PM,05:10:38 PM,12:00:02 AM,05:11:01 PM,05:11:04 PM,12:00:03 AM,05:11:12 PM,05:11:14 PM,12:00:02 AM,05:11:12 PM,05:11:12 PM,12:00:00 AM
19,05:12:19 PM,05:16:38 PM,04:19.00,05:12:50 PM,05:12:53 PM,12:00:03 AM,05:13:20 PM,05:13:34 PM,12:00:14 AM,05:13:33 PM,05:13:28 PM,,05:13:33 PM,05:13:28 PM,
20,05:14:46 PM,05:16:39 PM,01:53.00,05:15:12 PM,05:15:16 PM,,05:15:54 PM,05:15:55 PM,12:00:01 AM,05:16:18 PM,,,05:16:19 PM,05:16:00 AM,
21,05:18:08 PM,05:31:18 PM,13:10.00,05:18:40 PM,05:18:40 PM,12:00:00 AM,05:19:08 PM,05:19:11 PM,12:00:03 AM,05:19:29 PM,05:19:32 PM,,05:19:29 PM,05:19:30 PM,12:00:01 AM
22,05:20:00 PM,05:31:19 PM,10:50.00,05:21:05 PM,05:21:08 PM,12:00:03 AM,05:21:30 PM,05:21:35 PM,12:00:05 AM,05:21:50 PM,05:21:52 PM,12:00:02 AM,05:21:50 PM,05:21:20 PM,
23,05:23:02 PM,05:31:20 PM,08:18.00,05:23:31 PM,05:23:34 PM,12:00:03 AM,05:24:09 PM,05:24:07 PM,,05:24:20 PM,05:24:20 PM,12:00:00 AM,05:24:22 PM,05:24:22 PM,12:00:00 AM
24,05:25:38 PM,05:31:21 PM,05:43.00,05:26:00 PM,05:26:11 PM,12:00:11 AM,05:26:40 PM,05:26:42 PM,,05:27:07 PM,05:27:10 PM,,05:27:07 PM,05:27:10 PM,
25,05:28:21 PM,05:31:22 PM,03:01.00,05:28:53 PM,05:28:55 PM,12:00:02 AM,05:29:20 PM,05:29:28 PM,12:00:08 AM,05:29:43 PM,05:29:43 PM,12:00:00 AM,05:29:41 PM,05:29:41 PM,12:00:00 AM
26,05:31:30 PM,05:46:16 PM,14:46.00,05:32:00 PM,05:32:05 PM,12:00:05 AM,05:32:35 PM,05:32:46 PM,12:00:11 AM,05:32:57 PM,05:32:57 PM,12:00:00 AM,05:32:55 PM,05:32:55 PM,12:00:00 AM
27,05:34:15 PM,05:46:17 PM,12:02.00,05:34:45 PM,0.735393519,12:04:13 AM,05:35:10 PM,05:35:24 PM,12:00:14 AM,05:35:40 PM,,,05:35:35 PM,05:35:35 PM,12:00:00 AM
28,05:42:18 PM,05:46:18 PM,04:00.00,05:42:50 PM,05:42:52 PM,12:00:02 AM,05:43:18 PM,05:43:33 PM,12:00:15 AM,05:43:38 PM,05:43:38 PM,12:00:00 AM,05:43:37 PM,05:43:37 PM,12:00:00 AM
