Trial,Front Motion Sent (Sequence Start),Front Motion Received,Front Motion Sequence,Front Motion Time Delta ,Front Camera Start,Front Camera End,Unlock Sent,Unlock Received,Unlock Sequence ,Unlock Delta,Alexa Light Trigger Sent,Light Turned On,Alexa Trigger Received,Alexa Trigger Sequence,Alexa Trigger Delta,Motion Sensor 1 Sent,Motion Sensor 1 Received,Motion Sensor 1 Sequence,Motion Sensor 1 Delta,Motion Sensor 2 Sent,Motion Sensor 2 Received,Motion Sensor 2 Sequence,Motion Sensor 2 Delta,Lock Sent (Sequence End) ,Lock Received,Lock Sequence,Lock Time Delta
1,12:04:06,12:06,1,0:02:03,12:04:13,12:04:45,12:05:00,12:05:06,2,0:00:06,12:05:22,12:05:23,12:05:22,3,0:00:00,12:05:45,12:05:48,4,0:00:03,12:05:45,12:05:48,5,0:00:03,12:06:30,12:06:35,6,0:00:05
2,12:07:36,12:12:01,1,0:04:25,12:07:41,12:08:05,12:08:18,12:08:22,2,0:00:04,12:08:45,12:09:00,12:08:50,3,0:00:05,12:09:32,12:09:32,4,0:00:00,12:09:32,12:09:32,5,0:00:00,12:10:42,12:10:46,6,0:00:04
3,12:11:47,12:12:02,1,0:00:15,12:11:50,12:12:15,12:12:27,12:12:30,2,0:00:03,12:12:50,12:13:01,12:12:50,3,0:00:00,12:13:33,12:13:33,4,0:00:00,12:13:33,,5,,12:14:18,12:14:20,6,0:00:02
4,12:15:20,12:16:12,1,0:00:52,12:15:27,12:15:50,12:16,12:16:07,2,0:00:03,12:16:42,12:16,12:16:42,3,0:00:00,12:17:25,12:17:41,4,0:00:16,12:17:35,12:17:41,5,0:00:06,12:18:01,12:18:04,6,0:00:03
5,12:19:04,12:21:16,1,0:02:12,12:19:10,12:19:25,12:19:37,12:19:39,2,0:00:02,12:19:57,12:19:57,12:20:00,3,0:00:03,12:20:19,12:22:02,4,0:01:43,12:20:19,12:20:42,5,0:00:23,12:21:15,12:21:18,6,0:00:03
6,12:22:19,12:26:19,1,0:04:00,12:22:45,12:22:39,12:22:50,12:22:54,2,0:00:04,12:23,12:23:25,12:23:11,3,0:00:01,12:23:39,12:23:39,4,0:00:00,12:23:40,,5,,12:25:37,12:25:40,6,0:00:03
7,12:26:41,12:31:17,1,0:04:36,12:26:50,12:27:10,12:27:26,12:27:30,2,0:00:04,12:27:43,12:27:43,12:27:48,3,0:00:05,12:28:07,,4,,12:28:07,12:28:07,5,0:00:00,12:28:47,12:28:48,6,0:00:01
8,12:30:27,12:31:18,1,0:00:51,12:30:31,12:30:55,12:31:21,12:31:22,2,0:00:01,12:32:05,12:32:26,12:32:15,3,0:00:10,12:32:35,12:32:35,4,0:00:00,12:32:36,12:32:36,5,0:00:00,12:33:10,12:33:12,6,0:00:02
9,12:34:15,12:36:40,1,0:02:25,12:34:20,12:34,12:34:54,12:34:54,2,0:00:00,12:35:13,12:35:26,12:35:14,3,0:00:01,12:35:54,12:37:04,4,0:01:10,12:35:51,12:35:51,5,0:00:00,12:36:30,12:36:35,6,0:00:05
10,12:37:32,12:41:09,1,0:03:37,12:37:38,12:38,12:38:18,12:38:21,2,0:00:03,12:38:34,12:38:36,12:38:36,3,0:00:02,12:38:58,12:39:05,4,0:00:07,12:38:57,12:38:57,5,0:00:00,12:39:53,12:40:29,6,0:00:36
11,14:48:52,14:51:04,1,0:02:12,14:49:06,14:49,14:49:36,14:49:36,2,0:00:00,14:49:53,14:49:53,14:49:56,3,0:00:03,14:50:10,,4,,14:50:10,,,,14:50:40,,6,
12,14:51:45,14:56:11,1,0:04:26,14:51:52,14:52,14:52:31,14:52:33,2,0:00:02,14:53:12,14:53:23,14:53:23,3,0:00:11,14:53:40,,4,,14:53:40,,,,14:54:15,,6,
13,14:55:19,15:01:54,1,0:06:35,14:55:27,14:55,14:56:00,14:56:01,2,0:00:01,15:03:57,15:03:57,15:04:03,3,0:00:06,15:04:29,,4,,15:04:55,,,,15:04:55,,6,
delta sig,,,,0:01:35,,,,,,0:00:02,,,,,0:00:03,,,,0:00:38,,,,0:00:08,,,,0:00:10
